Loan_ID,Customer_ID,Loan_Amount,Interest_Rate,Loan_Term,Loan_Status,Loan_Start_Date,Loan_Type,Property_Value,Down_Payment
42,15160,107461,9.72,15,Defaulted,2023-04-12,Fixed,549994,32164
43,36249,167484,7.71,20,Closed,2019-09-20,Fixed,783858,26232
44,37608,338130,5.95,30,Closed,2022-01-12,Fixed,357347,97185
45,27841,172031,5.94,20,Closed,2023-11-26,Variable,473567,10681
46,26327,333483,6.3,20,Defaulted,2023-11-18,Fixed,209765,5643
47,44846,213474,7.53,20,Closed,2020-06-21,Fixed,530669,97834
48,22640,164562,3.7,30,Closed,2022-08-07,Variable,187576,81522
49,23414,282385,10.24,25,Closed,2019-03-10,Variable,164666,7548
50,11825,186234,2.88,25,Closed,2022-05-15,Variable,696516,85447
51,18220,470449,8.95,25,Closed,2019-08-25,Fixed,231127,46281
52,47284,316855,9.39,15,Closed,2019-07-26,Fixed,436722,88214
53,19681,112847,6.48,25,Closed,2020-10-31,Variable,208224,32161
54,20201,434907,8,20,Closed,2023-09-19,Fixed,459078,39412
55,10821,445414,2.81,25,Closed,2022-12-07,Fixed,769258,55076
56,5781,235014,7.21,30,Closed,2024-01-08,Variable,745462,52268
57,31663,101719,7.25,30,Closed,2022-02-08,Variable,766596,71466
58,38228,303026,2.75,25,Closed,2024-05-13,Variable,182113,51684
59,28638,457207,2.55,30,Closed,2020-03-16,Fixed,394262,12420
60,21429,348136,6.13,30,Closed,2024-07-31,Variable,570834,77832
61,5668,394040,3.25,30,Defaulted,2023-11-30,Variable,505929,59536
62,7647,262588,10.43,30,Closed,2022-02-01,Fixed,482798,6537
63,10004,426798,4.94,15,Closed,2021-09-27,Fixed,373530,35893
64,47181,384007,6.03,20,Closed,2019-02-25,Variable,557807,41927
65,40328,452773,6.32,15,Closed,2022-02-01,Variable,177799,22844
66,17489,280780,4.56,15,Closed,2023-09-28,Variable,165817,47265
67,33707,434252,10.27,30,Defaulted,2024-12-03,Variable,363741,9666
68,19717,459687,7.82,25,Closed,2024-07-28,Variable,241147,81597
69,38700,293599,3,30,Closed,2020-07-13,Fixed,565658,62046
70,13875,66058,9.44,25,Active,2024-03-10,Fixed,386313,57031
71,13918,409525,10.12,25,Active,2023-08-02,Fixed,489516,10060
72,21837,140287,5.92,20,Closed,2019-01-02,Variable,386230,15904
73,42803,385526,5.13,15,Defaulted,2024-12-02,Fixed,578137,83369
74,35580,324650,3.21,15,Closed,2019-12-19,Fixed,167117,6496
75,31181,491230,10.21,25,Closed,2022-01-30,Fixed,799829,12699
76,33379,100123,6.51,30,Closed,2021-04-30,Variable,273747,17509
77,10305,447588,6.29,25,Closed,2019-06-09,Fixed,329490,26739
78,41967,221138,6.16,15,Closed,2022-10-15,Fixed,388748,89787
79,8170,468015,7.99,30,Defaulted,2023-02-06,Fixed,357064,5679
80,30322,467487,4.52,15,Active,2024-12-05,Variable,183251,84228
81,49637,236426,9.34,20,Closed,2019-06-11,Fixed,694513,57615
82,28553,223095,4.62,25,Active,2024-08-03,Fixed,240429,6670
83,15200,302437,8.03,15,Closed,2022-05-24,Variable,388961,27078
84,16991,95589,5.67,20,Active,2024-04-19,Variable,454543,56605
85,38130,,6.45,30,Closed,2021-04-18,Variable,450691,73741
86,43143,214003,9.16,25,Closed,2022-03-26,Fixed,388553,22044
87,20949,332501,8.48,15,Closed,2021-06-02,Variable,536627,7291
88,1262,362513,7.95,30,Closed,2021-03-30,Variable,602532,87755
89,45229,304229,7.28,15,Closed,2022-10-01,Fixed,692539,77688
90,8830,487825,6.11,30,Closed,2024-05-11,Variable,668406,20796
91,1298,291547,8.3,15,Closed,2020-11-05,Fixed,335645,63399
92,17184,257378,8.29,15,Defaulted,2024-02-19,Variable,717043,70860
93,36908,465209,8.09,15,Closed,2019-01-11,Variable,118803,78238
94,17261,485551,5.42,25,Defaulted,2023-10-10,Fixed,322167,33740
95,6196,53237,5.8,25,Closed,2020-10-07,Variable,218997,46071
96,25698,221896,9.26,15,Closed,2022-09-15,Variable,162115,95661
97,40124,235951,4.36,30,Active,2023-04-03,Variable,727582,99719
98,42854,274336,4.98,30,Closed,2020-03-12,Fixed,656906,91242
99,5581,325906,10.32,15,Closed,2023-12-20,Fixed,418099,54466
100,42804,369068,6.29,30,Closed,2021-08-19,Variable,589261,54524
101,2839,173209,8.18,30,Active,2024-05-06,Fixed,691432,87413
102,14518,323113,5.58,15,Active,2023-02-25,Fixed,315088,74767
103,33918,94118,7.5,20,Closed,2022-06-03,Fixed,596939,67035
104,41875,133963,10.2,15,Closed,2023-03-16,Variable,615029,37017
105,47995,74060,4.18,30,Closed,2022-04-28,Fixed,735459,78353
106,40532,244068,9.13,30,Defaulted,2024-07-31,Variable,661624,20764
107,28522,473063,7.85,15,Defaulted,2023-06-29,Variable,742871,79469
108,28752,161019,6.93,25,Closed,2023-08-22,Variable,604621,62611
109,30745,230614,8.22,25,Closed,2020-04-17,Fixed,591803,92516
110,20447,316059,9.71,15,Active,2024-08-20,Variable,695578,58804
111,5677,270882,8.26,25,Active,2023-05-02,Fixed,237954,68242
112,19976,457914,7.79,15,Closed,2019-09-11,Variable,174061,23394
113,1887,134789,6.58,30,Closed,2020-06-20,Fixed,344944,24973
114,8325,463231,10.4,20,Closed,2022-02-16,Fixed,663044,72752
115,15824,400959,8.42,30,Closed,2023-07-13,Variable,759705,33738
116,173,117875,3.09,20,Closed,2021-11-28,Fixed,401118,32253
117,31812,431515,6.03,20,Unknown,2024-12-22,Fixed,497204,51693
118,10210,160777,5.78,20,Closed,2023-07-23,Fixed,252027,91672
119,7962,417983,6.68,25,Closed,2021-03-17,Variable,633815,10065
120,8918,155912,7.41,15,Active,2023-10-02,Variable,154649,7528
121,20979,411453,9.79,15,Defaulted,2023-10-12,Variable,555341,98968
122,35181,319068,9.2,25,Closed,2022-07-06,Variable,184393,59411
123,13740,406859,3.86,25,Active,2025-01-25,Fixed,338057,17600
124,41257,125943,5.74,30,Closed,2024-04-24,Fixed,369107,49584
125,35311,130769,9.74,20,Closed,2023-06-27,Fixed,424458,14960
126,23250,494890,9.94,15,Closed,2019-02-09,Variable,744807,10552
127,37374,340585,8.53,30,Closed,2021-11-01,Variable,142521,43008
128,18782,109309,8.73,30,Closed,2019-07-04,Fixed,322055,68175
129,3860,250484,3.29,25,Closed,2022-08-17,Variable,284094,53119
130,22021,97385,8.6,20,Closed,2021-11-13,Fixed,528270,84093
131,35288,200679,3.86,25,Defaulted,2023-06-24,Variable,212517,6643
132,8916,70400,9.89,15,Active,2025-02-08,Fixed,580380,44834
133,31403,,4.2,20,Defaulted,2024-06-17,Fixed,622114,23433
134,42443,251823,4,30,Defaulted,2024-12-11,Variable,147153,65407
135,44620,,8.81,15,Active,2025-02-27,Fixed,767969,93290
136,21334,322412,5.04,20,Closed,2019-05-02,Variable,174152,97600
137,36375,291792,10.14,20,Active,2025-02-21,Fixed,388699,89991
138,22136,458920,6.33,25,Closed,2019-04-03,Variable,498046,97256
139,5683,84306,4.2,30,Active,2024-01-11,Variable,438630,82621
140,30534,448741,5.06,20,Closed,2022-05-14,Variable,235714,57495
141,11473,162931,2.74,30,Closed,2021-05-18,Variable,793928,15983
142,837,244125,5.3,30,Closed,2021-05-26,Fixed,144900,55951
143,30192,307005,8.47,15,Active,2024-05-04,Variable,570337,31126
144,17060,156533,5.09,15,Closed,2019-11-13,Fixed,618196,14014
145,49066,297148,8.15,15,Unknown,2023-08-03,Fixed,791139,33991
146,7702,347575,10.39,30,Closed,2020-04-11,Fixed,714750,68759
147,11837,92213,8.48,25,Closed,2022-01-01,Variable,710702,95392
148,29826,471772,3.12,25,Closed,2021-04-19,Fixed,728143,37518
149,49997,311904,5.12,25,Active,2024-10-11,Fixed,175130,57375
150,10784,440369,4.63,20,Closed,2020-05-24,Variable,579860,14384
151,16903,356122,3.96,30,Active,2023-05-07,Variable,570358,56333
152,36542,162866,8,25,Closed,2022-01-25,Fixed,184301,11385
153,40666,277842,5.32,30,Closed,2020-03-13,Fixed,635942,60605
154,21897,292667,8.55,20,Defaulted,2024-07-07,Variable,582126,93980
155,47324,82866,8.91,15,Closed,2023-01-10,Variable,671074,36856
156,16743,117778,4.97,30,Closed,2022-10-08,Variable,309356,41304
157,16999,473219,4.51,30,Closed,2022-11-08,Variable,381732,98879
158,35217,362342,5.57,30,Closed,2020-05-25,Variable,474617,79866
159,31190,242854,7.58,30,Closed,2022-02-01,Fixed,390735,86911
160,47149,55961,4.54,25,Active,2024-05-01,Variable,480453,70197
161,39797,159170,4.61,30,Closed,2024-02-22,Variable,529711,82850
162,43840,309280,10.41,30,Closed,2021-05-28,Fixed,243129,51556
163,12819,474805,7.04,20,Closed,2021-02-12,Fixed,774822,26281
164,37535,289157,3.07,30,Closed,2019-12-10,Fixed,459486,58994
165,25710,469731,3.95,30,Defaulted,2024-01-17,Variable,724266,70566
166,35539,114631,5.2,15,Active,2023-03-14,Variable,649255,62274
167,22286,272650,10.03,20,Active,2024-01-06,Variable,196691,35107
168,28801,471991,9.95,25,Defaulted,2023-10-04,Variable,515742,14037
169,26040,365613,8.18,20,Closed,2023-03-30,Variable,507812,14337
170,13453,209011,5.02,25,Closed,2023-01-23,Variable,769715,62320
171,10408,292740,9.44,25,Active,2024-11-07,Fixed,527857,66399
172,34635,381304,4.78,20,Closed,2020-02-25,Fixed,216987,27030
173,11782,395069,8.4,30,Defaulted,2023-06-05,Variable,704970,47082
174,37331,379384,2.65,30,Active,2024-12-03,Variable,425325,12884
175,37182,231368,4.23,30,Closed,2022-03-24,Fixed,739451,67987
176,34463,135811,6.66,30,Active,2025-01-24,Fixed,796619,49239
177,44366,303210,5,20,Closed,2020-12-15,Variable,707082,56005
178,1527,279808,8.57,15,Closed,2020-01-07,Fixed,733823,10933
179,40700,94651,3.34,25,Closed,2021-08-13,Fixed,252837,45134
180,27528,478700,2.68,30,Closed,2019-04-05,Fixed,293153,95761
181,15752,125632,9.81,15,Active,2025-02-20,Variable,347716,58438
182,11482,216068,6.23,15,Closed,2019-10-09,Fixed,318332,10905
183,24057,212270,8.21,20,Closed,2021-05-11,Variable,552702,36565
184,27776,438701,3.41,30,Defaulted,2024-09-23,Variable,684658,62530
185,1816,474025,2.81,15,Closed,2020-06-05,Fixed,742873,23452
186,9962,466444,2.95,30,Closed,2020-09-20,Fixed,383360,39871
187,247,457639,6.26,20,Defaulted,2024-05-24,Fixed,288206,20975
188,11642,58064,6.46,25,Closed,2021-02-12,Variable,337068,95913
189,33359,374798,5.92,15,Active,2024-02-10,Fixed,545688,59705
190,12206,484620,7.01,25,Closed,2020-01-25,Fixed,452677,71182
191,44725,196408,6.33,20,Closed,2021-09-29,Variable,613411,68395
192,16637,308087,7.52,25,Closed,2021-02-18,Fixed,413305,61404
193,23864,456095,5.19,20,Active,2024-03-10,Fixed,157068,48291
194,17518,368987,9.64,20,Closed,2022-09-22,Fixed,577602,48946
195,40248,162514,7.97,15,Closed,2024-10-10,Variable,121917,48106
196,14707,158616,10.29,20,Closed,2022-12-29,Fixed,231714,72667
197,44036,387927,10.39,30,Closed,2024-10-20,Variable,616212,53883
198,38138,105821,9.42,20,Closed,2020-05-16,Fixed,501435,43684
199,42875,434092,6.92,20,Closed,2024-11-04,Fixed,644992,63192
200,33024,201384,7.22,25,Active,2023-01-05,Variable,583882,41452
201,25555,355655,4.12,30,Defaulted,2019-04-08,Fixed,106829,70581
202,13655,315208,5.73,20,Closed,2022-04-06,Fixed,778518,68615
203,6029,100288,2.76,20,Active,2023-02-25,Fixed,276823,76944
204,34845,427018,6.1,15,Active,2024-07-11,Variable,486179,77257
205,38977,134311,4.27,15,Active,2023-10-10,Variable,613166,8989
206,9069,424153,6.85,15,Closed,2023-11-12,Fixed,766541,88373
207,18375,301186,7.69,25,Active,2024-07-15,Variable,498606,21211
208,30682,475630,7.26,20,Closed,2024-03-16,Fixed,671461,85400
209,37677,322761,4.61,15,Closed,2022-05-23,Fixed,797276,93869
210,38008,350818,2.62,25,Defaulted,2024-10-01,Fixed,536628,70105
211,24124,468009,4.06,20,Active,2019-04-19,Fixed,459549,53910
212,28169,167988,5.01,25,Active,2024-01-24,Fixed,144948,43788
213,19610,,8.45,15,Closed,2021-02-24,Fixed,686118,83265
214,11338,337629,6.81,30,Closed,2020-12-31,Variable,300002,26297
215,13453,325405,9.7,15,Closed,2023-05-23,Fixed,196410,62804
216,23927,227963,9.14,20,Closed,2019-10-26,Fixed,717601,76710
217,4635,362073,7.56,30,Defaulted,2019-05-04,Variable,136368,76330
218,1116,489900,3.38,30,Defaulted,2024-02-06,Fixed,277317,12767
219,46883,284641,2.98,30,Active,2019-07-30,Variable,258825,27325
220,28208,272397,3.46,20,Defaulted,2024-01-01,Variable,295304,51278
221,4072,479231,4,30,Closed,2020-10-08,Fixed,434114,63370
222,1538,488739,8.91,30,Defaulted,2019-08-06,Fixed,380902,30136
223,40693,51298,6.69,30,Defaulted,2024-02-16,Fixed,382201,43905
224,48064,224701,8.77,30,Closed,2022-07-01,Variable,272455,89654
225,36000,496326,7.8,20,Closed,2022-11-03,Fixed,401739,25123
226,1566,191508,7.51,30,Active,2019-09-15,Fixed,347908,31115
227,6208,159453,5.53,20,Closed,2021-12-09,Fixed,305881,89551
228,27285,472435,10.13,30,Closed,2024-06-16,Variable,569272,92746
229,4148,197319,3.78,25,Active,2023-04-19,Fixed,290154,22159
230,48507,99050,4,30,Closed,2020-12-16,Variable,125054,93582
231,19546,83747,8.62,30,Closed,2021-01-26,Variable,746223,17957
232,26000,244930,9.18,30,Active,2023-03-21,Variable,426641,93490
233,30587,316492,3.14,30,Closed,2023-09-22,Variable,658658,50204
234,25479,266631,7.74,30,Closed,2020-02-11,Fixed,791580,73146
235,33573,113029,9.27,15,Closed,2021-12-03,Variable,414679,35407
236,1479,94291,5.1,30,Active,2019-02-23,Variable,120108,99889
237,12788,161960,5.85,30,Active,2024-03-25,Variable,110544,38862
238,37885,272232,8.7,25,Defaulted,2019-10-22,Fixed,654247,86160
239,259,473123,10.48,25,Closed,2019-11-02,Variable,133798,11246
240,40451,195155,8.32,30,Closed,2021-02-20,Fixed,519200,55072
241,45478,431896,4.22,15,Defaulted,2023-07-17,Fixed,777772,97720
242,26752,133426,9.79,15,Closed,2022-08-01,Fixed,510459,18694
243,35564,381105,6.91,15,Active,2019-03-05,Variable,256848,77379
244,801,198611,3.78,20,Closed,2019-03-20,Fixed,731086,84093
245,22989,447515,8.99,30,Active,2024-02-03,Fixed,686579,96805
246,30478,292149,5.87,25,Closed,2021-02-23,Fixed,637166,92392
247,1152,113572,3.64,20,Closed,2024-06-14,Fixed,352367,99686
248,47976,201972,5.44,15,Closed,2021-06-22,Fixed,422956,67978
249,15168,429957,7.95,20,Closed,2021-12-24,Variable,605238,29626
250,4230,189032,9.51,30,Closed,2022-11-04,Variable,661738,94900
251,30627,165902,7.44,20,Closed,2022-12-15,Fixed,651683,84098
252,31769,126631,6.83,25,Closed,2021-12-13,Fixed,734792,24226
253,39166,394454,7.5,25,Active,2019-10-03,Variable,402772,51724
254,44371,289992,2.89,20,Closed,2021-12-16,Variable,410321,38718
255,16804,493203,9.32,15,Closed,2021-10-04,Fixed,439617,95091
256,28648,164994,6.32,20,Closed,2022-08-29,Variable,729559,32202
257,33149,382281,3.36,30,Active,2024-11-16,Fixed,797168,15728
258,26141,186031,4.72,15,Defaulted,2024-10-02,Fixed,380543,98580
259,31567,457483,4,30,Closed,2020-12-02,Variable,670864,59662
260,20813,206596,8.15,30,Closed,2022-08-30,Fixed,484957,55768
261,41622,109949,2.92,20,Active,2019-09-13,Fixed,582178,47995
262,10691,146179,6.84,30,Closed,2021-09-02,Fixed,291687,68187
263,16340,166425,4,15,Active,2023-01-06,Fixed,571346,5910
264,35626,142765,5.13,30,Closed,2022-07-30,Variable,235201,80510
265,25016,378394,4,25,Closed,2020-08-23,Variable,696427,49147
266,3727,179833,7.43,15,Active,2025-01-02,Fixed,605053,68660
267,7148,116723,2.95,20,Closed,2022-07-20,Variable,740719,41982
268,29177,302310,9.4,30,Closed,2021-07-21,Variable,693460,77440
269,18504,327291,7.97,15,Closed,2019-07-09,Variable,385217,27880
270,36102,264344,5.24,30,Closed,2021-02-27,Variable,749536,42235
271,37779,489408,9.07,30,Active,2024-07-29,Variable,746744,19514
272,17844,355976,2.8,15,Closed,2024-12-08,Variable,617002,25342
273,26776,407895,4.95,30,Closed,2020-02-29,Variable,189886,13349
274,3174,360685,7.09,25,Closed,2021-09-27,Fixed,735642,81785
275,45502,428780,3.15,25,Closed,2022-09-10,Fixed,188859,6233
276,28028,115296,7.81,20,Defaulted,2023-09-25,Fixed,264539,39616
277,39710,75527,9.27,15,Closed,2021-09-11,Fixed,752220,12310
278,21091,195263,7.46,20,Active,2023-09-20,Variable,748464,49555
279,45243,495400,3.17,25,Closed,2020-04-21,Fixed,792291,34717
280,40315,463270,10.45,20,Closed,2024-09-08,Fixed,553245,21995
281,34741,239789,5.19,20,Closed,2021-12-17,Fixed,288224,99858
282,45332,57417,9.22,30,Closed,2019-02-06,Variable,759505,53858
283,22966,291260,10.14,15,Active,2024-07-09,Variable,744048,71684
284,40081,449903,8.58,15,Closed,2024-10-24,Fixed,502659,25265
285,44403,218528,7.09,30,Closed,2019-02-24,Variable,646941,11317
286,15455,390309,7.06,20,Closed,2022-04-11,Variable,340087,84673
287,44842,216920,7.48,25,Defaulted,2024-08-28,Variable,120953,78295
288,37656,69820,9.14,20,Active,2023-04-27,Fixed,123005,58076
289,22366,457113,7.71,15,Defaulted,2023-05-26,Variable,615265,90426
290,45067,169960,9.64,20,Defaulted,2024-12-10,Variable,263352,78522
291,18589,342633,6.09,25,Closed,2022-07-04,Variable,304550,84931
292,1721,352918,9.37,15,Closed,2023-11-06,Variable,401239,90010
293,45177,452723,7.92,15,Defaulted,2019-07-01,Variable,162030,27905
294,27264,206956,5.45,15,Closed,2020-03-18,Variable,544039,61377
295,5542,297417,4.03,30,Closed,2023-08-19,Variable,121243,89869
296,12329,385235,5.75,30,Closed,2021-12-19,Variable,711562,73526
297,48745,126704,7.9,30,Active,2024-04-16,Variable,560851,34828
298,33386,438341,9.99,25,Active,2019-02-15,Variable,239049,29437
299,5172,316703,6.89,20,Closed,2022-08-23,Fixed,633830,10843
300,16425,115287,6.57,15,Closed,2024-01-06,Fixed,355702,12026
301,48622,403117,9.58,25,Active,2019-02-18,Variable,543974,70837
302,1462,425523,3.45,15,Closed,2021-06-27,Variable,614801,90276
303,33409,353525,9.74,25,Closed,2021-11-28,Variable,164146,54323
304,48612,396930,5.61,15,Closed,2024-04-12,Fixed,120659,80582
305,49585,169881,6.94,30,Active,2024-01-18,Fixed,168429,5163
306,47650,385583,5.22,15,Closed,2020-11-13,Variable,569416,69619
307,42205,261388,4.05,25,Closed,2021-07-17,Fixed,335827,27402
308,35962,70244,4.71,15,Closed,2023-05-01,Fixed,540596,98874
309,2844,215677,7.67,15,Closed,2021-11-19,Variable,225557,7155
310,41404,386283,5.9,30,Closed,2021-01-03,Fixed,355892,10213
311,17747,58394,6.94,15,Defaulted,2024-02-25,Fixed,717801,7854
312,44471,94095,3.53,25,Closed,2020-12-04,Fixed,235368,40788
313,31900,201627,8.1,15,Closed,2021-07-07,Variable,525375,11355
314,40100,490925,3.61,25,Closed,2019-09-04,Fixed,377253,98792
315,35872,389560,3.29,15,Defaulted,2024-05-05,Variable,202754,35142
316,2642,344875,5.85,25,Closed,2024-03-26,Variable,160270,44749
317,7543,167014,10.32,15,Closed,2022-07-06,Fixed,221497,63037
318,39351,457852,3.8,20,Defaulted,2024-05-07,Fixed,369354,89765
319,3306,209234,3.26,25,Active,2023-11-07,Fixed,754988,79661
320,18275,65290,9.73,25,Closed,2022-02-17,Variable,300634,11750
321,3062,227095,9.77,20,Active,2025-01-12,Fixed,692593,88315
322,47093,408515,5.03,25,Closed,2022-03-24,Variable,110068,45469
323,37695,369487,5.75,15,Closed,2020-11-22,Variable,404996,36894
324,1394,358071,9.29,30,Closed,2021-05-28,Fixed,108618,17341
325,26649,332216,6.41,25,Closed,2022-12-01,Fixed,305039,43569
326,9109,332092,9.05,15,Closed,2019-04-28,Fixed,501154,16776
327,6894,283618,9.01,25,Closed,2020-10-23,Variable,232053,73414
328,15689,99889,5.58,20,Closed,2021-01-23,Fixed,779391,58670
329,1406,133546,8.31,30,Active,2025-01-13,Fixed,410969,53225
330,14602,477890,8.7,20,Defaulted,2019-08-07,Variable,191373,7925
331,8715,109193,10.12,20,Closed,2021-04-25,Variable,372296,91087
332,32950,98448,5.68,15,Defaulted,2019-10-29,Fixed,212150,56581
333,45488,383576,6.84,30,Closed,2021-06-09,Variable,758424,86957
334,6181,472657,4.61,20,Defaulted,2024-03-04,Variable,462304,95347
335,12392,301230,10.18,20,Closed,2022-08-24,Variable,311529,97940
336,17373,228057,9.75,30,Unknown,2019-04-18,Fixed,799688,9096
337,28386,81524,9.7,25,Closed,2019-01-20,Variable,453189,58187
338,18081,203703,6.74,30,Closed,2021-12-08,Variable,194827,77404
339,2162,425928,10.49,30,Active,2023-10-12,Fixed,166169,85804
340,45771,224716,2.57,25,Active,2023-07-27,Fixed,243672,69449
341,8535,137217,8.97,30,Closed,2021-09-30,Variable,333394,39868
342,21288,175507,8.25,20,Closed,2021-04-02,Fixed,302403,30414
343,38836,186352,9.71,20,Closed,2023-04-04,Fixed,513247,56519
344,28108,96129,6.85,20,Active,2023-04-15,Variable,588992,50548
345,17819,384553,3.59,20,Defaulted,2023-01-29,Fixed,290865,17097
346,36319,361022,3.77,20,Closed,2021-12-05,Fixed,650518,32998
347,8617,146519,3.75,20,Closed,2021-01-14,Fixed,773356,83972
348,43675,164209,8.33,15,Closed,2020-01-15,Variable,260374,6177
349,13310,188685,3.51,25,Closed,2022-05-12,Fixed,408762,64264
350,36396,251956,10.09,30,Closed,2021-09-18,Fixed,583321,21831
351,9976,218578,3.02,30,Closed,2024-05-08,Fixed,526716,91388
352,2308,119670,6.22,30,Closed,2022-01-29,Fixed,185270,98643
353,48361,395818,8.07,15,Closed,2023-08-07,Fixed,642824,7709
354,26637,432012,3.9,30,Closed,2020-07-17,Variable,207627,11774
355,27048,166505,7.61,30,Active,2019-05-12,Variable,487704,30213
356,13991,307161,8.7,15,Closed,2020-03-04,Variable,540425,43624
357,11411,169270,7.24,15,Closed,2022-05-30,Fixed,357180,62361
358,24894,78028,9.47,25,Defaulted,2019-11-05,Variable,721837,28441
359,40702,385715,4.34,20,Closed,2021-06-20,Fixed,685261,11833
360,35242,99049,4.23,25,Active,2023-10-02,Variable,327010,26381
361,30367,459361,3.38,15,Active,2023-07-10,Fixed,145022,49574
362,21556,383429,10.38,25,Closed,2021-12-03,Fixed,256360,30270
363,8081,214594,5.44,20,Closed,2024-12-30,Variable,223375,51161
364,44988,356184,2.74,20,Closed,2020-04-11,Fixed,446869,82726
365,26218,322198,3.83,15,Defaulted,2023-08-07,Fixed,580943,38203
366,40116,379336,9.65,25,Active,2023-10-29,Fixed,123901,85344
367,1171,194009,6.43,30,Defaulted,2023-11-20,Fixed,763130,98355
368,27994,227131,8.61,25,Closed,2024-03-16,Variable,358226,66436
369,46256,186548,6.32,30,Closed,2024-11-14,Variable,622625,98788
370,682,223836,8.09,20,Closed,2023-03-25,Fixed,130184,72536
371,47783,323751,10.41,15,Closed,2020-06-22,Variable,487624,25788
372,29421,57565,9.68,25,Active,2025-02-14,Fixed,178261,55236
373,2222,77295,6.73,30,Active,2019-07-26,Variable,246465,28272
374,5444,445104,7.4,20,Closed,2019-07-02,Fixed,784866,74414
375,3551,311704,2.8,15,Closed,2021-12-19,Fixed,341395,29019
376,48859,84998,5.24,20,Closed,2019-10-11,Variable,328527,5972
377,40729,353949,5.17,30,Closed,2020-11-28,Fixed,155967,24958
378,9677,203044,2.86,30,Closed,2022-12-10,Variable,715608,30047
379,3855,59958,4.26,30,Closed,2020-08-23,Variable,457750,49627
380,39786,452130,4.04,30,Closed,2022-11-16,Variable,758712,33419
381,8684,339158,4.71,15,Closed,2020-11-15,Variable,586919,47726
382,36303,266390,7.16,20,Closed,2022-01-18,Fixed,444341,27722
383,23593,426486,5.64,25,Active,2024-05-28,Fixed,755980,85994
384,15692,116876,8.95,30,Closed,2021-08-22,Variable,195041,77274
385,41925,166437,6.24,30,Closed,2021-08-10,Fixed,634165,75077
386,17752,443549,3.54,20,Closed,2021-09-25,Variable,290417,26869
387,44807,169798,2.53,15,Closed,2020-04-09,Fixed,684727,47121
388,2711,390947,3.46,30,Closed,2021-07-05,Variable,482245,52888
389,13834,450429,7.9,20,Closed,2022-07-02,Fixed,685319,53031
390,20358,152430,3.37,25,Closed,2019-05-09,Variable,232184,39911
