Payment_ID,Loan_ID,Payment_date,Payment_Amount,Late_Payment,Payment_Method,Remaining_Balance,Interest_Paid,Principal_Paid,Fees_Charged
49,23295,2021-07-24 0:00,3157,Yes,Cash,118925,117.81,745,95.61
50,34452,2019-09-25 0:00,923,No,Check,198311,384.28,132,39.16
51,28079,2021-05-20 0:00,4793,No,Check,41487,160.4,2574,73.57
52,29436,2022-08-26 0:00,4009,No,Credit Card,19837,460.66,126,72.05
53,13849,2024-12-06 0:00,2542,No,Check,40266,157.43,458,44.53
54,11694,2025-01-29 0:00,3867,No,Check,181054,147.51,597,37.06
55,26589,2022-05-17 0:00,2738,Yes,Credit Card,143697,163.01,2970,71.27
56,8859,2022-08-21 0:00,2650,No,Check,44379,341.56,773,20.68
57,18845,2021-09-12 0:00,1115,Yes,Cash,0,321.39,194,91.67
58,38227,2021-03-10 0:00,4941,No,Bank Transfer,157740,148.03,2516,79.92
59,4880,2024-04-01 0:00,3893,No,Bank Transfer,4860,298.84,106,7.73
60,42886,2023-01-14 0:00,1532,No,Cash,44340,234.81,2699,21.09
61,28668,2021-01-06 0:00,3058,No,Cash,169471,478.22,929,85.97
62,11639,2019-10-17 0:00,4517,No,Credit Card,82178,105.5,2812,22.17
63,19688,2024-01-13 0:00,3634,No,Check,178586,475.58,1277,58.13
64,45011,2022-04-27 0:00,1316,No,Bank Transfer,50775,371.22,2765,78.78
65,6309,2024-06-07 0:00,1005,No,Credit Card,130024,246.03,1528,20.44
66,1640,2020-02-05 0:00,4428,No,Credit Card,0,289.06,2433,92.77
67,30142,2019-04-08 0:00,500,No,Credit Card,134601,349.5,2411,43.36
68,20238,2021-04-21 0:00,1283,No,Check,29258,262.83,1714,18.86
69,17082,2023-06-29 0:00,2778,No,Credit Card,181221,247.84,1568,13.64
70,6025,2024-10-04 0:00,2950,No,Credit Card,0,121.62,487,95.49
71,794,2022-05-01 0:00,4577,No,Bank Transfer,0,348.92,1170,52.54
72,26925,2023-04-18 0:00,4632,No,Bank Transfer,108061,495.01,2395,40.54
73,42571,2023-04-04 0:00,2107,Yes,Credit Card,8546,138.53,662,60.55
74,235,2020-09-26 0:00,2266,Yes,Check,0,86.97,2814,64.03
75,26956,2022-05-10 0:00,1155,No,Cash,0,486.07,2314,14.38
76,38215,2021-05-01 0:00,4980,No,Bank Transfer,0,176.42,2457,62.15
77,12506,2022-06-29 0:00,769,No,Bank Transfer,111447,247.02,1596,54.87
78,37948,2019-07-24 0:00,,No,Bank Transfer,0,257.56,1487,24.95
79,9734,2021-06-01 0:00,3019,No,Cash,70605,368.7,146,26.02
80,13041,2023-03-04 0:00,4081,No,Cash,192741,294.21,1789,95.56
81,26242,2020-11-16 0:00,3142,No,Check,0,443.12,1846,47.1
82,47430,2023-02-10 0:00,820,Yes,Credit Card,140937,149.09,2997,34.42
83,1260,2020-06-27 0:00,2807,No,Cash,0,376.65,563,30.97
84,48074,2023-09-11 0:00,2577,No,Check,34904,109.8,2116,14.52
85,49576,2022-05-03 0:00,2574,No,Credit Card,0,359.27,885,46.85
86,6217,2023-10-10 0:00,4172,No,Credit Card,52873,348.32,1978,80.23
87,25964,2022-01-14 0:00,1895,No,Cash,0,312.14,1649,55.11
88,1808,2019-04-01 0:00,,No,Cash,0,415.5,2959,74.03
89,34221,2023-09-10 0:00,4408,No,Credit Card,0,292.7,1687,68.51
90,35634,2020-08-06 0:00,2279,No,Credit Card,146388,444.91,1408,72.35
91,21121,2022-01-13 0:00,1016,No,Cash,164517,260.64,1931,79.18
92,49190,2019-07-17 0:00,2028,Yes,Credit Card,117368,323.37,2468,36.63
93,1254,2024-08-16 0:00,1288,No,Bank Transfer,0,367.83,1854,79.45
94,44129,2022-01-09 0:00,1524,No,Credit Card,171218,254.15,278,14.28
95,49177,2022-03-25 0:00,1651,No,Check,0,256.13,2324,52.74
96,30495,2020-06-29 0:00,783,No,Credit Card,109255,207.64,1639,89.38
97,12326,2023-05-01 0:00,2361,No,Check,21438,359.88,2880,54.95
98,31578,2021-07-06 0:00,2157,No,Bank Transfer,0,243.23,1550,30.73
99,11938,2021-11-21 0:00,1194,No,Bank Transfer,0,432.19,2516,88.37
100,7008,2019-07-02 0:00,3980,Yes,Credit Card,0,121.97,1666,3.94
101,38405,2021-03-11 0:00,728,Yes,Credit Card,0,300.84,2401,30.06
102,24847,2021-11-08 0:00,4625,Yes,Credit Card,84389,428.38,1791,80.77
103,35594,2020-09-10 0:00,2311,No,Cash,0,423.95,276,1.79
104,21773,2019-08-06 0:00,4313,No,Cash,60401,258.41,2213,84.73
105,10377,2025-03-01 0:00,1536,No,Check,158051,110.93,1659,65.22
106,2237,2019-05-04 0:00,2199,No,Credit Card,67781,435.15,1123,35.44
107,2136,,4954,No,Credit Card,0,421.03,1946,23.48
108,48521,2020-09-05 0:00,1199,No,Check,173233,220.39,1266,11.59
109,8212,2021-12-01 0:00,3701,No,Cash,184362,345.16,2877,60.71
110,48510,2023-06-21 0:00,3558,No,Credit Card,69421,494.43,958,16
111,7248,2022-01-05 0:00,4307,No,Cash,2622,63.74,2887,32.88
112,30340,2023-01-17 0:00,535,Yes,Cash,134658,131.68,505,29.94
113,37576,2021-03-06 0:00,3350,No,Check,121865,79.5,200,8.5
114,27584,2023-05-01 0:00,4342,No,Cash,107598,180.35,616,97.92
115,42061,2021-10-29 0:00,4619,No,Credit Card,0,340.17,1449,69.53
116,40030,2021-06-12 0:00,3802,No,Check,0,64.11,1816,5.33
117,16344,2023-03-16 0:00,1818,No,Check,57440,443.85,2817,98.18
118,30715,2021-04-14 0:00,1170,No,Cash,169898,216.07,1472,0.61
119,28297,2020-09-18 0:00,3824,No,Check,50087,239.96,2441,86.58
120,31409,2022-10-21 0:00,2738,No,Credit Card,0,296.76,571,93.05
121,38996,2023-02-01 0:00,2375,No,Cash,0,326.98,475,70.98
122,2064,2024-08-06 0:00,2214,No,Cash,0,434.78,1664,55.48
123,9290,2024-07-08 0:00,2198,No,Bank Transfer,177710,489.69,2752,89.41
124,38041,2024-10-05 0:00,1710,No,Bank Transfer,0,169.06,662,61.44
125,22446,2022-02-08 0:00,1904,No,Cash,158314,284.97,682,81.81
126,23512,2020-12-05 0:00,2912,Yes,Cash,0,123.58,2335,92.65
127,4330,2021-08-23 0:00,2793,No,Cash,0,112.06,1509,51.04
128,48288,2019-11-25 0:00,3114,No,Check,0,396.12,1760,52.92
129,2430,2021-12-02 0:00,1427,No,Credit Card,41431,268.19,2369,38.12
130,47815,2020-02-03 0:00,2335,No,Cash,162870,57.14,2914,32.1
131,39599,2023-03-05 0:00,3026,No,Cash,0,257.68,1720,30.6
132,28089,2019-06-16 0:00,539,No,Check,39537,499.93,2075,28.01
133,41223,2020-06-20 0:00,660,No,Check,60316,385.99,2907,44.14
134,29750,2019-03-18 0:00,4857,No,Bank Transfer,61452,96.27,2407,30.73
135,45303,2021-05-30 0:00,593,No,Cash,0,132.09,2873,62.59
136,32782,2024-11-19 0:00,1884,Yes,Credit Card,0,333.64,905,36.71
137,27097,2022-09-21 0:00,2324,Yes,Credit Card,0,494.49,2550,54.63
138,27935,2023-11-16 0:00,2346,Yes,Bank Transfer,0,318.72,1225,3.22
139,11959,2020-02-18 0:00,4034,No,Cash,148964,169.43,1696,48.87
140,13452,2024-11-22 0:00,1155,Yes,Cash,97088,223.9,1307,9.34
141,39369,2021-08-20 0:00,1662,No,Credit Card,2022,157.47,1164,25.59
142,15933,2020-06-03 0:00,1121,Yes,Credit Card,173091,58.3,477,10.22
143,25548,2019-08-20 0:00,2589,No,Credit Card,31950,230.7,2548,80.27
144,31965,2022-07-09 0:00,4917,Yes,Check,179673,400.33,2266,15.28
145,48349,2022-10-22 0:00,4100,No,Check,183425,292.35,646,9.19
146,36614,2025-02-27 0:00,1177,No,Credit Card,0,421.56,2568,83.51
147,30439,2020-10-02 0:00,1097,No,Check,0,491.15,1657,52.82
148,17697,2021-01-29 0:00,2228,No,Cash,8449,271.42,1455,20.99
149,11733,2023-09-13 0:00,4814,No,Cash,29176,408.19,412,60.97
150,42584,2024-08-28 0:00,4309,Yes,Bank Transfer,28760,327.2,1017,73.16
151,165,2020-02-18 0:00,1697,No,Credit Card,38651,447.15,2088,65.54
152,22167,2020-05-24 0:00,4718,No,Cash,96842,309.59,863,53.65
153,1500,2021-08-18 0:00,4022,No,Check,0,418.11,230,40.27
154,40747,2023-04-06 0:00,1770,No,Cash,36459,205.81,2215,54.95
155,3970,2020-02-14 0:00,2089,No,Bank Transfer,0,108.62,241,90.34
156,12564,2022-09-20 0:00,1257,No,Credit Card,177359,437.15,349,32.26
157,20348,2020-06-19 0:00,4859,No,Cash,18004,494.94,1724,93.86
158,27312,2019-04-30 0:00,3136,No,Credit Card,125502,122.55,618,75.18
159,36439,2020-10-16 0:00,1161,No,Check,64734,202.19,847,64.28
160,19888,2020-04-19 0:00,2265,Yes,Credit Card,104394,197.5,350,54.55
161,41182,2020-09-02 0:00,,No,Credit Card,0,144.18,2963,29.8
162,4207,2024-11-17 0:00,1690,No,Bank Transfer,0,374.18,2249,28.51
163,30432,2021-08-05 0:00,4068,No,Check,37600,107.78,1537,3.52
164,937,2021-05-20 0:00,4704,No,Check,0,105.78,2998,39.77
165,7510,,916,Yes,Credit Card,182311,351.76,1731,25.97
166,8952,2021-10-12 0:00,961,No,Credit Card,188097,101.1,926,24.6
167,745,2019-02-15 0:00,1922,Yes,Check,0,196.05,632,87.04
168,4578,2021-02-23 0:00,2763,No,Cash,5165,345.07,1896,14.21
169,18286,2022-04-23 0:00,3732,No,Cash,160281,443.51,1009,92.77
170,40087,2024-05-12 0:00,2695,No,Credit Card,142267,297.04,1501,24.71
171,14314,2023-04-18 0:00,2239,No,Cash,170993,270.18,2013,67.23
172,14687,2020-06-16 0:00,2622,No,Bank Transfer,153118,125.37,654,13.15
173,14474,2020-09-07 0:00,2920,No,Cash,53823,301.65,594,32.56
174,12704,2023-12-10 0:00,1454,No,Cash,0,414.8,2877,70.93
175,6088,2021-10-27 0:00,2867,Yes,Check,39497,153.67,2109,39.97
176,45944,2021-01-16 0:00,3947,No,Cash,0,158.72,753,95.93
177,39604,2024-03-16 0:00,2923,No,Bank Transfer,67112,395.17,1833,1.94
178,19992,,4347,No,Credit Card,24431,270.38,924,82.25
179,1453,2021-07-18 0:00,2518,No,Bank Transfer,33755,94.69,2567,95.13
180,23065,2020-04-03 0:00,2701,No,Cash,92195,109.82,1556,64.52
181,20514,2020-05-24 0:00,1558,Yes,Credit Card,58681,243.87,2612,49.54
182,41322,2021-12-24 0:00,700,No,Bank Transfer,104842,403.45,2022,40.94
183,21125,2022-11-04 0:00,2611,Yes,Bank Transfer,92050,228.13,2409,1.89
184,11660,2023-07-02 0:00,4537,Yes,Bank Transfer,104608,469.68,1605,26
185,31655,2021-01-05 0:00,2070,Yes,Check,0,421.99,2734,46.32
186,7589,2019-06-15 0:00,4764,No,Check,62028,93.48,293,55.66
187,14946,2019-01-03 0:00,,No,Cash,42400,413.6,2493,25.67
188,26009,2019-08-12 0:00,2766,No,Bank Transfer,116259,73.42,675,0.29
189,44778,2021-12-31 0:00,4779,No,Cash,150355,209.48,1657,57.59
190,29697,2025-02-28 0:00,1499,No,Bank Transfer,161411,116.12,327,83.95
191,5942,2022-01-11 0:00,3563,No,Credit Card,0,104.02,766,93.3
192,22632,2019-04-01 0:00,622,No,Cash,7509,490.81,973,32.04
193,22818,2019-08-05 0:00,4169,Yes,Check,70136,82.64,2230,99.54
194,49184,2023-09-23 0:00,4693,No,Check,148244,98.11,2398,70.77
195,22797,2022-12-23 0:00,1036,No,Check,104363,137.23,2658,90.54
196,41007,2019-11-02 0:00,4357,Yes,Bank Transfer,61752,390.09,1718,58.9
197,38755,2020-02-08 0:00,2447,No,Check,0,478.46,1232,50.09
198,9239,2020-12-08 0:00,4011,No,Cash,124348,187,191,84.38
199,7808,2022-05-07 0:00,2560,No,Check,128761,440.99,111,27.83
200,29085,2022-04-11 0:00,2081,No,Check,185124,308.01,1942,98.59
201,28720,2020-12-16 0:00,752,No,Check,0,148.45,2246,43.83
202,15701,2019-10-02 0:00,2053,No,Check,181936,275.06,1056,28.79
203,25082,2024-12-24 0:00,1423,Yes,Bank Transfer,178971,305.9,807,85.9
204,206,2021-10-08 0:00,2348,No,Check,0,464.14,1134,31.34
205,42855,2019-09-29 0:00,3896,No,Check,108883,282.01,2554,73.41
206,17579,2025-01-08 0:00,1218,Yes,Cash,76570,258.47,2416,38.6
207,11738,2021-07-06 0:00,4708,No,Cash,42473,195.78,870,95.72
208,4773,2022-01-10 0:00,3553,No,Bank Transfer,0,71.18,1604,28.07
209,30196,2021-11-15 0:00,764,No,Check,0,294.15,1219,27.5
210,39991,2020-07-04 0:00,1629,No,Bank Transfer,76656,486.58,420,65.01
211,7131,2021-01-30 0:00,4588,No,Credit Card,77326,139.46,427,64.15
212,19646,2022-02-07 0:00,3359,No,Cash,120920,422.43,610,81.99
213,45012,2020-05-13 0:00,3391,No,Credit Card,3495,494.91,2643,51.56
214,46049,2019-05-04 0:00,4079,No,Bank Transfer,19046,167.15,2493,98.95
215,46796,2019-03-28 0:00,2049,No,Credit Card,21210,249.19,1429,48.76
216,19525,2019-10-17 0:00,3497,Yes,Cash,0,89.9,293,22.34
217,27663,2022-09-01 0:00,1900,No,Cash,88811,401.21,2366,35.69
218,45330,2019-08-23 0:00,1050,No,Check,0,410.84,1704,27.98
219,36489,2019-12-18 0:00,4097,No,Credit Card,96099,332.66,2657,13.41
220,43025,2021-07-03 0:00,3074,No,Check,0,342.77,2776,91.22
221,38181,2024-04-06 0:00,655,No,Cash,4240,141.83,585,32.32
222,260,2023-09-13 0:00,506,No,Credit Card,0,261.01,1583,55.97
223,17292,2022-04-13 0:00,1103,No,Check,111981,498.69,1068,49.2
224,32410,2021-11-22 0:00,1984,No,Check,97229,56.44,2688,35.64
225,1004,2024-05-20 0:00,1062,No,Credit Card,7341,359.86,558,58.1
226,12851,2023-03-15 0:00,4715,No,Bank Transfer,122581,159.62,543,93.34
227,2259,2024-01-24 0:00,3711,No,Bank Transfer,146320,270.04,824,32.21
228,29368,2023-12-31 0:00,3356,No,Check,199907,362.99,1394,65.26
229,44476,2021-02-21 0:00,1744,No,Cash,54963,296.42,2487,38.13
230,1911,2023-10-07 0:00,4263,No,Credit Card,0,402.22,2370,44.24
231,9879,2021-10-16 0:00,3857,No,Check,185838,155.25,2094,30.07
232,13803,2024-09-20 0:00,3148,Yes,Bank Transfer,24736,159.8,1884,32.94
233,15710,2023-10-16 0:00,3774,No,Bank Transfer,24014,331.85,1706,39.55
234,21357,2020-02-24 0:00,2050,No,Bank Transfer,1123,117.87,1617,18.63
235,42563,2024-09-04 0:00,4982,No,Check,0,213.55,1741,61.5
236,1295,2024-11-06 0:00,964,No,Check,188162,416.81,562,97.7
237,24565,2020-06-02 0:00,1847,No,Bank Transfer,0,330.19,554,33.88
238,42816,2022-07-07 0:00,1631,No,Credit Card,0,300.77,2311,25.83
239,45543,2021-09-28 0:00,578,No,Check,0,474.06,2616,91.56
240,42480,2019-07-16 0:00,3572,No,Cash,15244,434.15,2680,1.01
241,46569,2022-05-03 0:00,2129,No,Cash,0,334.97,953,16.49
242,46503,2025-01-20 0:00,2290,No,Cash,0,377.53,1720,1.64
243,5906,2021-03-29 0:00,2267,No,Credit Card,0,322.54,1242,96.31
244,19051,2023-05-10 0:00,1132,Yes,Credit Card,47841,263.41,1573,91.4
245,5870,2019-09-08 0:00,2832,Yes,Credit Card,78248,269.72,2907,30.17
246,39383,2024-08-18 0:00,1921,No,Check,115225,223.46,808,89.91
247,44632,2022-03-13 0:00,4693,No,Credit Card,17345,475.91,2625,9.62
248,15293,2021-11-05 0:00,3864,No,Bank Transfer,0,288.82,878,24.56
249,13553,2019-08-22 0:00,3273,Yes,Bank Transfer,87565,494.16,366,28.45
250,11965,2020-09-28 0:00,3778,Yes,Bank Transfer,196900,127.05,2606,40.29
251,14999,2020-12-30 0:00,4911,No,Cash,194727,292.61,1895,80.29
252,2801,2023-06-26 0:00,1878,No,Check,0,346.87,2000,79.6
253,2648,2023-08-28 0:00,2769,No,Credit Card,0,262.73,2996,99.27
254,10898,2022-11-29 0:00,2414,No,Check,56396,430.33,669,97.43
255,46619,2021-12-28 0:00,2524,No,Check,169885,118.23,2366,78.88
256,14168,2023-03-30 0:00,3489,Yes,Cash,57769,412.93,2941,29.91
257,48817,2023-04-30 0:00,701,No,Check,26691,135.68,885,28.36
258,15277,2020-04-13 0:00,2407,No,Check,123643,391.83,2924,56.97
259,29421,2022-05-16 0:00,3970,Yes,Bank Transfer,101158,94.54,2555,26.81
260,32315,2020-10-06 0:00,1773,No,Credit Card,87087,458.7,1975,49.34
261,7972,2022-02-07 0:00,4712,No,Cash,88619,170.66,414,4.67
262,20589,2020-08-23 0:00,3659,No,Credit Card,39027,84.25,1574,31.25
263,15017,2020-10-08 0:00,1482,No,Cash,165310,241.96,970,83.03
264,21175,2023-08-18 0:00,3739,No,Check,11716,106.63,503,19.4
265,26249,2019-12-21 0:00,3600,No,Credit Card,10067,114.84,1667,10.34
266,20089,2024-02-01 0:00,2381,No,Cash,150536,83.24,1271,67.74
267,39376,2022-05-15 0:00,1392,No,Check,0,221.81,2306,83.29
268,22391,2020-07-26 0:00,4025,No,Credit Card,97680,196.73,868,72.28
269,23732,2020-04-01 0:00,2296,No,Cash,54228,126.03,746,89.89
270,2905,2022-10-03 0:00,4464,No,Cash,0,332.26,2207,5.69
271,8177,2020-11-11 0:00,4350,No,Credit Card,186916,403.09,1384,31.47
272,8823,2023-12-18 0:00,1252,Yes,Bank Transfer,50311,419.35,188,24.77
273,46091,2023-04-14 0:00,3781,No,Credit Card,57095,331.18,685,92.02
274,16271,2019-08-15 0:00,2908,No,Credit Card,109543,58.04,2812,25.49
275,44298,2020-04-14 0:00,,Yes,Cash,132142,283.67,886,74.3
276,44884,2020-09-07 0:00,4453,No,Check,117462,158.5,1498,73.47
277,12195,2024-09-10 0:00,651,Yes,Bank Transfer,15437,203.69,2354,32.62
278,3472,2022-05-09 0:00,4482,Yes,Credit Card,137089,496.82,1814,92.82
279,25270,2021-01-07 0:00,2894,No,Bank Transfer,37458,293.63,1030,42.98
280,48623,2023-11-28 0:00,1804,No,Check,0,444.59,2929,66.54
281,47289,2022-01-31 0:00,1019,No,Check,49415,405.37,499,81.72
282,25696,2023-09-18 0:00,3175,No,Bank Transfer,122033,186.53,1392,58.44
283,49785,2021-01-19 0:00,991,No,Cash,0,98.58,2596,42.51
284,36581,2019-07-06 0:00,3146,Yes,Credit Card,180961,370.69,364,62.98
285,6266,2021-01-26 0:00,2369,No,Cash,0,424,1395,41.69
286,748,2019-05-02 0:00,2037,No,Cash,0,273.94,434,29.92
287,42569,2023-10-22 0:00,1822,No,Credit Card,133117,95.26,1926,88.82
288,37126,2020-05-10 0:00,4512,No,Bank Transfer,0,126.93,579,19.72
289,49408,2022-12-04 0:00,623,No,Bank Transfer,0,402.67,568,6.64
290,9729,2024-04-23 0:00,3182,No,Credit Card,0,130.62,2554,60.28
291,31467,2022-10-06 0:00,626,No,Check,44793,70.37,682,57.86
292,27600,2021-07-29 0:00,770,Yes,Check,94933,113.55,2663,28.9
293,10130,2024-04-09 0:00,1160,No,Bank Transfer,35386,147.61,2258,21.03
294,20432,2024-03-16 0:00,2529,Yes,Credit Card,7685,145.47,1075,99.75
295,31771,2023-02-02 0:00,4552,Yes,Credit Card,7942,124.34,2636,91.89
296,21145,2024-09-18 0:00,3292,No,Check,61615,118.91,674,28.08
297,21779,2021-10-02 0:00,2405,No,Bank Transfer,0,226.94,2034,75
298,49982,2024-07-08 0:00,2753,No,Cash,103998,162.76,2441,21.06
299,14481,2020-02-29 0:00,1070,No,Cash,0,218.22,2893,22.39
300,27744,2021-05-31 0:00,2715,No,Cash,68070,109.42,475,90.59
301,33295,2024-02-26 0:00,2472,No,Credit Card,153355,196.24,2976,35.27
302,12833,2024-08-11 0:00,837,No,Bank Transfer,0,60,1706,59.51
303,15422,2024-12-13 0:00,2888,No,Credit Card,158958,219.2,1093,54.35
304,7602,2021-08-06 0:00,1869,No,Cash,196289,187.39,2583,33.14
305,20796,2019-04-26 0:00,4908,No,Credit Card,195294,242.15,1024,5.92
306,31243,2024-12-19 0:00,2907,No,Bank Transfer,31588,213.7,791,96.69
307,32765,2019-07-30 0:00,3368,No,Cash,0,84.19,2630,65.92
308,33701,2023-03-03 0:00,1006,No,Cash,145959,55.84,1717,73.53
309,14471,2024-05-19 0:00,1442,No,Bank Transfer,65205,409.57,128,7.66
310,48444,2020-06-04 0:00,3764,No,Check,0,339.02,1961,55.4
311,23926,2020-08-19 0:00,4195,No,Credit Card,169391,430.14,2245,44.13
312,334,2019-07-11 0:00,4259,No,Credit Card,185406,372.24,2983,41.58
313,14662,2022-11-10 0:00,2408,Yes,Credit Card,115713,410.61,2459,40.41
314,8509,2019-11-29 0:00,4085,No,Cash,141184,443.09,624,91.97
315,37297,2021-04-29 0:00,1149,Yes,Cash,187126,150.73,2061,73.62
316,4329,2020-05-04 0:00,3113,No,Check,0,426.55,1828,99.78
317,19826,2021-03-31 0:00,2477,No,Check,190027,351.09,220,38.07
318,31288,2020-01-03 0:00,3593,No,Check,184208,195.08,920,93.04
319,33,2019-08-01 0:00,4123,No,Cash,0,121.42,1459,57.71
320,37021,2024-10-23 0:00,4199,No,Credit Card,0,78.22,2130,97.1
321,3467,2020-01-28 0:00,4970,No,Check,77244,220.02,1639,54.94
322,32863,2020-11-05 0:00,3985,Yes,Bank Transfer,116211,235.28,1747,57.86
323,13638,2019-07-13 0:00,4624,No,Cash,26537,312.61,1239,44.44
324,997,2021-09-15 0:00,1816,No,Bank Transfer,159759,218.41,1083,5.07
325,30673,2020-04-12 0:00,4128,No,Check,11484,334.54,2668,99.55
326,3566,2021-04-07 0:00,816,No,Check,0,184.09,1108,37.98
327,10342,2020-09-16 0:00,2042,No,Credit Card,140211,432.34,295,84.3
328,25334,2022-11-19 0:00,1616,No,Bank Transfer,127704,308.47,2535,34.69
329,31823,2022-01-30 0:00,4081,No,Bank Transfer,67277,403.28,1993,24.25
330,5402,2024-09-21 0:00,4910,Yes,Bank Transfer,0,222.75,1755,79.17
331,10723,2020-02-24 0:00,4969,Yes,Bank Transfer,18380,155.68,817,71.62
332,19948,2020-04-03 0:00,1750,No,Cash,55655,325.49,2813,20.06
333,40021,2023-08-18 0:00,2368,Yes,Credit Card,186362,105.01,1090,47.49
334,6616,2020-03-03 0:00,4566,No,Cash,86509,412.08,1889,33.89
335,10244,2022-11-03 0:00,4841,No,Check,86927,150.23,2496,35.52
336,21403,2019-05-16 0:00,4169,No,Check,199309,104.56,2882,57.88
337,20843,2021-10-23 0:00,3935,No,Cash,181174,96.38,1105,85.52
338,31200,2019-01-01 0:00,2567,No,Check,80603,348.87,1000,55.97
339,12787,2024-09-14 0:00,1172,No,Check,33494,347.55,1823,54.47
340,44376,2022-12-25 0:00,4103,No,Bank Transfer,172124,351.85,2554,48.83
341,41887,2020-02-02 0:00,4508,No,Credit Card,35955,242.22,956,69.71
342,40326,2022-05-25 0:00,2673,Yes,Credit Card,0,73.55,310,49.21
343,12734,2021-11-15 0:00,2173,No,Credit Card,21531,346.1,1151,81.68
344,22414,2023-08-23 0:00,4705,No,Bank Transfer,73537,348.13,2053,65.8
345,47443,2020-02-28 0:00,2381,No,Check,31698,466.53,1740,62.09
346,34947,2021-08-16 0:00,3157,No,Bank Transfer,134436,488.79,893,38.62
347,48492,2024-07-19 0:00,1382,No,Credit Card,79583,392.53,549,80.36
348,26388,2023-12-19 0:00,2424,No,Credit Card,24404,207.01,1274,19.75
349,37742,2020-07-20 0:00,3183,No,Bank Transfer,0,99.12,293,50
350,31273,2023-12-11 0:00,3078,No,Cash,127664,217.31,1056,96.94
